,,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
Lead Origin,0,[3 0],2911,0.393804113,2020,891,0.306080385,0.351888832,0.046413712,0.005771965
Lead Origin,1,[1],3903,0.528003247,2484,1419,0.363566487,0.093298235,0.004544161,0.000567814
Lead Origin,2,[2 4],578,0.078192641,39,539,0.932525952,-3.092773456,0.558568969,0.050879756
Lead Origin,Totals,,7392,1,4543,2849,0.385416667,,0.609526843,0.057219535
Lead Source,0,[18  9 19 17  2  6 11 15],1554,0.210227273,1176,378,0.243243243,0.668360402,0.084334819,0.01034992
Lead Source,1,[1],2049,0.277191558,1377,672,0.327964861,0.250784627,0.016860612,0.002102071
Lead Source,2,[7],913,0.123511905,569,344,0.376779847,0.036619245,0.000164915,2.06E-05
Lead Source,3,[3],2295,0.310470779,1381,914,0.398257081,-0.053886949,0.000906926,0.000113352
Lead Source,4,[21 10 14 13  4  0],581,0.078598485,40,541,0.931153184,-3.071159356,0.5561453,0.050839466
Lead Source,Totals,,7392,1,4543,2849,0.385416667,,0.658412573,0.063425422
Do Not Email,0,[1],598,0.080898268,508,90,0.150501672,1.264052246,0.101415356,0.011895085
Do Not Email,1,[0],6794,0.919101732,4035,2759,0.406093612,-0.086481525,0.006938443,0.000867035
Do Not Email,Totals,,7392,1,4543,2849,0.385416667,,0.108353799,0.01276212
Do Not Call,0,[0 1],7392,1,4543,2849,0.385416667,-2.22E-16,0,0
Do Not Call,Totals,,7392,1,4543,2849,0.385416667,,0,0
Last Activity,0,[16  2  9  1],1375,0.186011905,1248,127,0.092363636,1.818490931,0.418491678,0.046118078
Last Activity,1,[15  7 10 14],679,0.091856061,528,151,0.222385862,0.785196916,0.04964149,0.006050539
Last Activity,2,[ 3 13  5],3054,0.413149351,1965,1089,0.356581532,0.12361287,0.006217009,0.000776632
Last Activity,3,[12  8 17  6 11  0],2284,0.308982684,802,1482,0.648861646,-1.080658729,0.371365337,0.044286038
Last Activity,Totals,,7392,1,4543,2849,0.385416667,,0.845715513,0.097231286
Country,0,"[ 0 36 32 30 29 28 27 24 22 20 18 16 15 14 19 10 13  6  5  4 25 23  1 35
 37  9 34 12]",5338,0.722132035,3387,1951,0.365492694,0.084982981,0.005161943,0.000645049
Country,1,[33 38 26  2  8 21 11  3  7],2054,0.277867965,1156,898,0.437195716,-0.21406855,0.013002718,0.001622243
Country,Totals,,7392,1,4543,2849,0.385416667,,0.018164662,0.002267292
Specialization,0,[19],1136,0.153679654,1022,114,0.100352113,1.726698791,0.31934852,0.03559808
Specialization,1,[16  2 18 13  3  8  9],855,0.115665584,547,308,0.360233918,0.107729488,0.00132474,0.000165512
Specialization,2,[14 15 17  6  1 11],2486,0.336309524,1445,1041,0.418744972,-0.138691999,0.006562851,0.000819699
Specialization,3,[4 7 0],1734,0.234577922,936,798,0.460207612,-0.307112652,0.02274692,0.002832243
Specialization,4,[12 10  5],1181,0.159767316,593,588,0.49788315,-0.45815208,0.034754372,0.004306696
Specialization,Totals,,7392,1,4543,2849,0.385416667,,0.384737403,0.04372223
How did you hear about X Education,0,[10  5],1761,0.238230519,1538,223,0.126632595,1.464446847,0.381151193,0.043796385
How did you hear about X Education,1,[2 4 7 9],601,0.081304113,360,241,0.400998336,-0.065312433,0.00034931,4.37E-05
How did you hear about X Education,2,[3 8],908,0.122835498,517,391,0.43061674,-0.187284217,0.004389883,0.000547935
How did you hear about X Education,3,[6 1 0],4122,0.55762987,2128,1994,0.483745754,-0.401579631,0.092958359,0.011542341
How did you hear about X Education,Totals,,7392,1,4543,2849,0.385416667,,0.478848744,0.055930317
What is your current occupation,0,[6],2128,0.287878788,1846,282,0.132518797,1.412249813,0.434065324,0.050155788
What is your current occupation,1,[3 4 0 2],4694,0.635010823,2658,2036,0.433745207,-0.20003267,0.025916387,0.003234158
What is your current occupation,2,[5 1],570,0.07711039,39,531,0.931578947,-3.077819906,0.547225763,0.049969338
What is your current occupation,Totals,,7392,1,4543,2849,0.385416667,,1.007207474,0.103359284
What matters most to you in choosing a course,0,[3],2143,0.289908009,1861,282,0.131591227,1.420342654,0.441242381,0.050941502
What matters most to you in choosing a course,1,[0 1],5249,0.710091991,2682,2567,0.489045532,-0.422794648,0.131345008,0.016296924
What matters most to you in choosing a course,Totals,,7392,1,4543,2849,0.385416667,,0.572587389,0.067238426
Search,0,[1 0],7392,1,4543,2849,0.385416667,-2.22E-16,0,0
Search,Totals,,7392,1,4543,2849,0.385416667,,0,0
Magazine,0,[0],7392,1,4543,2849,0.385416667,-2.22E-16,0,0
Magazine,Totals,,7392,1,4543,2849,0.385416667,,0,0
Newspaper Article,0,[1 0],7392,1,4543,2849,0.385416667,-2.22E-16,0,0
Newspaper Article,Totals,,7392,1,4543,2849,0.385416667,,0,0
X Education Forums,0,[1 0],7392,1,4543,2849,0.385416667,-2.22E-16,0,0
X Education Forums,Totals,,7392,1,4543,2849,0.385416667,,0,0
Newspaper,0,[1 0],7392,1,4543,2849,0.385416667,-2.22E-16,0,0
Newspaper,Totals,,7392,1,4543,2849,0.385416667,,0,0
Digital Advertisement,0,[1 0],7392,1,4543,2849,0.385416667,-2.22E-16,0,0
Digital Advertisement,Totals,,7392,1,4543,2849,0.385416667,,0,0
Through Recommendations,0,[0 1],7392,1,4543,2849,0.385416667,-2.22E-16,0,0
